timestamp,$50.99 or below,$51 to 51.99,$52 to 52.99,$53 to 53.99,$54 to 54.99,$55 to 55.99,$56 to 56.99,$57 to 57.99,$58 to 58.99,$59 to 59.99,$60 to 60.99,$61 to 61.99,$62 to 62.99,$63 to 63.99,$64 to 64.99,$65 to 65.99,$66 to 66.99,$67 to 67.99,$68.0 or above
2026-02-07T18:00:00Z,,,,,,,,,,,,,14.00,14.00,14.00,,,,
2026-02-07T19:00:00Z,,,,,,,,,,,,13.00,14.00,14.00,14.00,,,,18.00
2026-02-07T21:00:00Z,4.00,,4.00,4.00,,,,,,,,13.00,14.00,14.40,14.61,,,,18.00
2026-02-07T22:00:00Z,4.00,,4.00,4.00,,,,,,,,13.00,12.00,11.00,14.61,12.00,9.00,,18.00
2026-02-07T23:00:00Z,4.00,,4.00,4.00,,,,,,,,13.00,12.00,11.00,15.81,12.00,9.00,,18.00
2026-02-08T02:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,9.00,12.63,14.93,14.80,17.14,11.33,6.00,10.00
2026-02-08T03:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,9.00,14.00,14.93,14.80,17.14,11.33,6.00,10.00
2026-02-08T04:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,9.00,14.00,15.02,16.00,17.14,11.33,6.00,15.61
2026-02-08T05:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,9.00,14.00,16.00,16.00,17.14,11.33,6.00,15.61
2026-02-08T06:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,13.00,14.00,16.00,16.00,17.14,11.33,6.00,15.61
2026-02-08T07:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,13.00,14.00,14.98,16.00,12.99,11.33,6.00,15.61
2026-02-08T08:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,13.00,14.00,16.00,16.00,13.00,11.33,6.00,15.61
2026-02-08T10:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,13.00,14.00,16.00,16.00,13.00,11.33,6.00,15.61
2026-02-08T13:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,13.00,14.00,16.00,16.00,14.00,11.33,6.00,15.61
2026-02-08T14:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,13.00,14.00,16.20,16.00,14.00,11.33,6.00,7.00
2026-02-08T15:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,13.00,14.00,16.20,15.82,14.00,11.33,6.00,7.00
2026-02-08T16:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,13.00,14.00,16.00,15.82,14.00,11.33,6.00,7.00
2026-02-08T17:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,13.00,12.00,10.66,15.82,14.42,9.00,6.00,7.00
2026-02-08T18:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,13.00,14.00,10.66,15.82,15.00,9.00,6.00,7.00
2026-02-08T19:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,3.00,6.00,9.00,14.00,16.98,15.82,15.00,9.00,6.00,7.00
2026-02-08T20:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,9.00,6.00,9.00,15.00,17.00,15.82,15.00,12.00,6.00,7.00
2026-02-08T21:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,9.00,6.00,9.00,15.00,17.19,15.82,12.00,12.00,6.00,7.00
2026-02-08T22:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,9.00,6.00,9.00,15.00,18.00,16.00,15.00,12.00,6.00,7.00
2026-02-08T23:00:00Z,4.00,,4.00,4.00,,,1.00,1.00,1.00,9.00,6.00,9.00,15.00,18.00,16.89,15.00,12.00,6.00,7.00
2026-02-09T00:00:00Z,4.00,,4.00,4.00,,,2.00,2.00,2.00,4.00,6.00,20.26,14.63,17.25,11.00,7.00,9.00,6.00,7.00
2026-02-09T01:00:00Z,4.00,,4.00,4.00,,,2.00,2.00,2.00,4.00,6.00,15.33,15.00,17.25,11.00,7.00,9.00,9.00,8.33
2026-02-09T02:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,2.00,4.00,6.00,15.00,15.47,18.00,16.00,7.00,9.00,9.00,8.33
2026-02-09T03:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,2.00,4.00,6.00,17.43,16.41,17.00,16.00,7.00,9.00,9.00,8.33
2026-02-09T04:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,6.00,20.43,18.62,15.66,15.21,7.00,9.00,6.00,7.00
2026-02-09T05:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,6.00,23.52,16.00,15.96,15.00,7.00,9.00,6.00,9.00
2026-02-09T06:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,11.00,23.86,16.53,15.93,16.00,12.04,9.00,8.00,9.00
2026-02-09T07:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,11.00,21.10,16.91,15.00,14.75,12.04,9.00,6.00,9.00
2026-02-09T08:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,10.00,22.82,16.00,15.71,15.00,12.04,9.00,6.00,7.00
2026-02-09T09:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,10.00,22.82,17.00,15.71,15.00,12.04,9.00,6.00,7.00
2026-02-09T11:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,10.00,22.82,17.00,19.00,15.00,12.04,9.00,6.00,7.00
2026-02-09T12:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,10.00,18.50,17.00,19.00,15.00,12.04,9.00,6.00,7.00
2026-02-09T13:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,10.00,22.00,17.00,19.00,15.00,12.04,9.00,6.00,7.00
2026-02-09T14:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,10.00,22.00,17.00,20.00,15.00,12.04,9.00,6.00,7.00
2026-02-09T15:00:00Z,3.00,,4.00,4.00,,,2.00,2.00,7.96,4.00,10.00,22.68,19.00,20.00,15.00,12.95,9.00,6.00,7.00
2026-02-09T16:00:00Z,3.00,,4.00,4.00,,,1.00,2.00,3.00,4.00,7.00,20.28,14.00,19.50,14.85,10.00,6.00,6.00,8.92
2026-02-09T17:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,2.52,4.00,8.37,11.50,16.25,16.00,15.48,20.30,6.00,6.00,6.00
2026-02-09T18:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,2.52,4.00,8.37,11.00,16.25,18.00,17.31,5.03,8.00,6.00,6.00
2026-02-09T19:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,2.52,4.00,6.26,12.03,14.00,18.88,17.31,8.48,8.00,6.00,6.00
2026-02-09T20:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,2.52,4.00,6.26,12.00,17.00,17.00,17.00,8.48,8.00,6.00,6.00
2026-02-09T21:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,2.52,4.00,6.26,13.00,17.00,17.98,17.63,8.48,8.00,6.00,6.00
2026-02-09T22:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,2.52,4.00,7.00,13.00,17.79,17.98,18.00,13.39,8.00,6.00,10.94
2026-02-09T23:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,2.52,4.00,7.00,11.64,17.07,18.54,18.00,13.00,8.00,6.00,13.90
2026-02-10T00:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,2.52,4.00,6.00,11.64,17.07,18.47,18.68,13.00,9.76,7.00,13.90
2026-02-10T01:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,6.00,4.00,6.00,11.64,16.92,18.41,19.05,13.00,9.76,7.00,13.00
2026-02-10T02:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,6.00,4.00,6.00,11.64,15.25,19.72,20.92,11.00,11.00,7.00,9.00
2026-02-10T03:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,6.00,4.00,6.00,11.64,16.40,20.00,22.05,10.78,12.00,7.00,9.00
2026-02-10T04:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,11.46,14.93,20.68,22.69,10.84,7.00,6.00,9.00
2026-02-10T05:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,11.46,16.00,20.00,22.98,10.00,7.00,6.00,9.00
2026-02-10T06:00:00Z,3.00,,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,11.46,16.00,19.83,23.15,10.00,10.00,6.00,10.36
2026-02-10T07:00:00Z,3.00,2.02,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,11.46,16.00,20.00,22.76,10.00,10.00,6.00,10.36
2026-02-10T08:00:00Z,3.00,2.02,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,11.46,16.00,20.96,22.90,10.00,10.00,6.00,10.36
2026-02-10T09:00:00Z,3.00,2.02,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,11.46,16.00,20.00,22.76,10.00,10.00,6.00,10.36
2026-02-10T12:00:00Z,3.00,2.02,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,12.00,16.00,20.00,25.00,10.00,10.00,6.00,10.36
2026-02-10T13:00:00Z,3.00,2.02,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,12.00,16.00,20.63,25.00,10.00,10.00,6.00,10.36
2026-02-10T14:00:00Z,3.00,2.02,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,12.00,10.04,21.00,25.25,10.80,10.00,6.00,8.46
2026-02-10T15:00:00Z,3.00,2.02,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,9.09,9.62,21.00,29.42,10.80,10.00,6.00,8.46
2026-02-10T16:00:00Z,3.00,2.02,4.00,4.00,,,1.00,1.00,3.00,4.00,6.00,9.09,9.62,20.00,36.72,11.00,10.00,6.00,8.46
