timestamp,$50.99 or below,$51 to 51.99,$52 to 52.99,$53 to 53.99,$54 to 54.99,$55 to 55.99,$56 to 56.99,$57 to 57.99,$58 to 58.99,$59 to 59.99,$60 to 60.99,$61 to 61.99,$62 to 62.99,$63 to 63.99,$64.0 or above
2026-01-03T19:00:00Z,,,,6.00,,,20.00,24.50,22.50,,,,,,
2026-01-03T20:00:00Z,4.00,,,6.00,10.00,15.00,23.00,27.50,25.92,,,,,,
2026-01-03T21:00:00Z,4.00,,,1.00,3.50,8.00,16.00,25.34,21.00,,,,,,
2026-01-03T22:00:00Z,6.62,4.00,5.00,1.00,10.00,14.87,20.00,17.00,26.00,,,,,,
2026-01-03T23:00:00Z,6.62,4.99,5.00,1.00,9.00,14.87,17.00,21.13,26.62,11.79,6.99,4.99,3.99,,3.99
2026-01-04T00:00:00Z,9.00,7.54,5.00,1.00,9.00,14.87,17.00,19.18,24.01,11.79,6.99,4.99,3.99,,3.99
2026-01-04T01:00:00Z,9.00,7.54,5.00,1.00,9.00,20.88,15.98,19.00,24.00,11.79,6.99,4.99,3.99,,4.78
2026-01-04T02:00:00Z,8.97,7.00,5.00,5.81,9.00,20.88,15.83,19.22,24.23,11.79,6.99,4.99,3.99,,6.74
2026-01-04T03:00:00Z,8.97,7.00,5.00,5.81,9.00,18.93,16.00,20.00,26.26,9.79,6.99,4.99,3.99,,6.74
2026-01-04T04:00:00Z,9.00,7.00,5.00,5.81,7.95,19.00,16.40,20.52,18.71,10.00,6.99,10.13,3.99,,6.00
2026-01-04T05:00:00Z,9.00,7.00,5.00,4.00,7.95,18.00,17.00,20.34,22.58,10.00,6.99,10.13,3.99,,6.00
2026-01-04T06:00:00Z,9.00,7.00,5.00,5.79,10.00,15.00,17.00,20.69,22.95,11.00,8.10,6.00,3.99,,6.00
2026-01-04T07:00:00Z,9.00,7.00,5.00,5.79,10.00,15.00,17.00,21.00,22.00,11.00,8.10,6.38,3.99,,6.00
2026-01-04T08:00:00Z,9.00,7.00,5.00,5.79,10.00,15.00,17.00,21.00,16.00,11.00,8.10,6.38,6.00,,6.00
2026-01-04T09:00:00Z,9.00,7.00,5.00,5.79,10.00,15.00,16.58,21.00,22.33,11.00,8.10,6.38,6.00,,6.00
2026-01-04T10:00:00Z,9.00,7.00,5.00,5.79,10.00,15.00,16.58,21.00,23.00,11.00,8.10,6.38,6.00,,6.00
2026-01-04T11:00:00Z,9.00,7.00,4.81,5.79,10.00,15.00,16.58,21.00,20.51,37.81,39.42,6.38,6.00,,6.00
2026-01-04T12:00:00Z,9.00,7.00,4.81,5.79,10.00,13.00,16.58,19.00,20.51,37.81,39.42,6.38,6.00,,6.00
2026-01-04T13:00:00Z,9.00,7.00,6.00,7.00,10.00,13.00,16.58,20.00,20.51,37.81,39.42,6.38,6.00,,6.00
2026-01-04T14:00:00Z,9.00,7.00,6.00,7.00,10.00,13.00,16.58,19.00,20.51,37.81,11.00,6.38,6.00,4.00,6.00
2026-01-04T15:00:00Z,9.00,7.00,6.00,7.00,10.00,13.00,16.58,19.00,20.51,37.81,11.00,6.38,6.00,4.00,6.00
2026-01-04T16:00:00Z,9.00,7.00,6.00,10.00,10.00,13.00,15.00,19.00,19.84,37.81,11.00,6.38,6.00,4.00,6.00
2026-01-04T17:00:00Z,9.00,7.00,6.00,10.00,10.00,15.00,15.00,19.00,19.84,37.81,10.17,6.38,6.00,5.00,6.00
2026-01-04T18:00:00Z,9.00,7.00,6.00,4.00,9.97,15.00,15.00,18.91,20.54,37.81,10.17,6.38,6.00,5.00,6.00
2026-01-04T19:00:00Z,9.00,7.00,6.00,4.00,9.97,15.00,15.00,19.10,20.28,37.81,10.00,6.38,6.00,5.00,6.00
2026-01-04T20:00:00Z,9.00,7.00,6.00,4.00,9.97,15.00,14.80,22.63,20.55,13.00,10.00,6.38,6.00,5.00,6.42
2026-01-04T21:00:00Z,9.00,7.00,6.00,4.00,4.00,14.96,14.41,19.28,20.09,13.00,10.00,6.38,6.00,5.00,6.42
2026-01-04T22:00:00Z,9.00,7.00,6.00,4.00,9.00,14.00,16.00,20.85,17.89,13.00,10.00,6.38,6.00,5.00,6.42
2026-01-04T23:00:00Z,6.99,7.00,6.00,4.00,9.00,14.00,15.10,22.97,19.99,11.93,9.50,6.38,6.00,5.00,6.42
2026-01-05T00:00:00Z,3.01,7.00,6.00,2.80,8.00,15.66,18.14,25.66,24.96,11.93,9.50,6.38,6.00,5.00,6.42
2026-01-05T01:00:00Z,8.96,7.00,6.00,2.80,8.00,15.66,20.00,27.00,19.74,9.00,8.68,6.38,6.00,5.00,6.42
2026-01-05T02:00:00Z,8.96,7.00,6.00,2.80,6.00,12.91,18.24,27.46,20.88,9.00,9.00,6.38,6.00,5.00,6.42
2026-01-05T03:00:00Z,8.96,7.00,6.00,6.76,6.00,12.91,20.00,27.54,20.03,9.00,9.00,6.38,6.00,5.00,6.42
2026-01-05T04:00:00Z,8.96,2.99,6.00,6.76,6.00,12.91,19.64,27.87,20.10,9.00,9.00,6.38,6.00,5.00,6.42
2026-01-05T05:00:00Z,8.96,2.99,5.95,6.76,6.00,9.88,20.72,28.14,20.00,9.00,9.00,6.38,6.00,5.00,6.42
2026-01-05T06:00:00Z,8.96,4.06,6.00,6.76,6.83,10.68,20.17,29.89,18.22,6.15,9.00,6.38,6.00,5.00,4.65
2026-01-05T07:00:00Z,6.98,4.06,6.00,6.76,10.00,17.61,22.00,27.58,18.35,5.71,9.00,6.38,6.00,5.00,4.65
2026-01-05T08:00:00Z,6.98,3.81,4.00,6.76,6.70,17.08,20.12,29.00,16.01,5.71,5.25,6.38,6.00,5.00,4.65
2026-01-05T09:00:00Z,6.98,3.81,4.00,6.83,9.00,24.00,21.00,29.00,16.01,5.71,5.25,6.38,6.00,5.00,4.65
2026-01-05T10:00:00Z,6.98,3.81,4.00,6.83,9.00,15.16,17.06,30.00,16.01,5.71,5.25,6.38,6.00,5.00,3.00
2026-01-05T11:00:00Z,6.98,3.81,4.00,6.83,9.00,19.62,19.00,30.75,18.99,5.71,5.25,6.38,6.00,5.00,3.00
2026-01-05T12:00:00Z,6.98,3.81,4.00,6.83,4.00,20.00,20.00,30.00,19.00,6.00,5.25,6.38,6.00,5.00,3.00
2026-01-05T13:00:00Z,6.98,3.81,4.00,6.83,4.00,20.00,19.00,31.00,22.00,6.00,5.25,6.38,6.00,5.00,3.00
2026-01-05T14:00:00Z,6.98,3.81,4.00,6.83,4.00,15.00,12.00,31.00,23.00,6.00,5.25,6.38,6.00,5.00,3.00
2026-01-05T15:00:00Z,6.98,3.81,4.00,6.83,4.00,15.00,12.00,31.00,22.91,7.00,6.00,6.38,6.00,5.00,3.00
2026-01-05T16:00:00Z,6.98,3.81,4.00,6.00,4.00,6.12,12.77,30.43,23.00,7.00,6.22,1.00,6.00,5.00,3.00
2026-01-05T17:00:00Z,6.98,3.81,4.00,6.00,4.00,4.00,13.55,30.00,24.36,7.00,7.58,2.74,1.00,5.00,3.00
2026-01-05T18:00:00Z,6.98,3.81,4.00,6.00,4.00,4.00,14.00,29.00,27.14,8.00,7.58,2.74,1.00,5.00,3.00
2026-01-05T19:00:00Z,6.98,3.81,4.00,6.00,4.00,10.00,14.00,30.44,28.71,15.11,7.58,2.74,1.00,5.00,2.00
2026-01-05T20:00:00Z,6.98,3.81,4.00,6.00,4.00,10.00,14.01,32.00,29.00,15.76,7.58,2.74,1.00,5.00,2.00
2026-01-05T21:00:00Z,6.98,3.81,4.00,6.00,4.00,10.00,14.85,32.00,28.00,15.76,11.13,2.74,1.00,5.00,4.00
2026-01-05T22:00:00Z,6.98,3.81,4.00,6.00,4.00,10.00,14.85,24.46,28.00,15.76,14.00,2.74,1.00,1.48,4.00
2026-01-05T23:00:00Z,6.98,3.81,4.00,4.88,4.00,8.99,14.85,30.52,28.65,15.76,12.00,2.74,1.00,1.48,4.00
2026-01-06T00:00:00Z,6.98,2.00,4.00,4.88,4.00,2.12,14.38,30.85,30.00,15.76,12.00,2.74,1.00,1.48,3.99
2026-01-06T01:00:00Z,6.98,2.00,3.00,4.88,4.00,7.95,16.48,32.00,29.62,14.34,11.97,2.74,1.00,1.48,3.99
2026-01-06T02:00:00Z,6.98,1.00,3.00,2.93,4.00,7.95,14.00,27.99,28.66,17.00,11.97,2.74,1.00,3.25,3.99
